date,home,away,actual,pred_poisson,pred_real,has_real,relo_h,relo_a,lambda_h,lambda_a,match_idx,se_real,se_poisson,min_elo
2025-12-23,Nigeria,Tanzania,1.0,0.6170178863432866,0.8445395282300351,True,1619.0,1325.0,1.3606869469307337,0.88663931434633,1962,0.024167958282940057,0.14667529938096374,1325.0
2025-12-23,Tunisia,Uganda,1.0,0.5744356254978528,0.770096676660982,True,1643.0,1433.0,1.293629904474797,0.9918028908176393,1963,0.05285553808232504,0.18110503684540383,1433.0
2025-12-24,Algeria,Sudan,1.0,0.7260343504209598,0.8948627896440804,True,1725.0,1353.0,2.0045603174024795,0.9379942808195015,1964,0.011053833001424889,0.07505717714926546,1353.0
2025-12-24,Burkina Faso,Equatorial Guinea,1.0,0.6062613647476344,0.6519120398746636,True,1548.0,1439.0,1.519294460309937,1.062922105526027,1965,0.12116522798421778,0.15503011289039542,1439.0
2025-12-24,Cameroon,Gabon,1.0,0.5184395763511747,0.6293885472175023,True,1559.0,1467.0,1.409926893326785,1.3293010935402558,1966,0.13735284893355354,0.23190044162483614,1467.0
2025-12-24,Côte d'Ivoire,Mozambique,1.0,0.7345469049842512,0.7869632793894692,True,1607.0,1380.0,1.8366777544431332,0.7835868643905654,1967,0.04538464432848936,0.07046534565344015,1380.0
2025-12-26,Morocco,Mali,0.5,0.6907956905800123,0.8881842302218831,True,1856.0,1596.0,1.7837680212404285,0.9282537743290008,1968,0.15068699659295592,0.036402995543903804,1596.0
2025-12-26,Egypt,South Africa,1.0,0.4501562280455648,0.5714631174083814,True,1608.0,1558.0,1.1569710675375924,1.3673908647463928,1969,0.1836438597413427,0.30232817355708086,1558.0
2025-12-26,Zambia,Comoros,0.5,0.5504647743878661,0.5244454611206615,True,1374.0,1357.0,1.2877499855891272,1.0804455566454385,1970,0.0005975805694017722,0.002546693454018228,1357.0
2025-12-26,Angola,Zimbabwe,0.5,0.6326695723738561,0.7670249181450214,True,1549.0,1342.0,1.4243091219167372,0.8794408769773581,1971,0.07130230691035537,0.01760121543386185,1342.0
